,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2025,1024.21,1306.19,985.07,1139.35,924.17,1214.84,930.89,1020.44,1115.62,514.11,1302.3,949.04,966.43,736.79,1130.27,1212.84,842.95,989.82,873.32,984.12,966.51,775.73,1078.8,1174.86,1144.13,624.85,1208.84,972.91,948.53,710.49,716.39,736.64,700.83
2026,1033.14,1343.24,903.31,1057.05,1045.97,1253.57,1052.03,1052.9,1179.12,543.05,1352.67,1011.52,1086.59,642.86,1040.86,1254.56,766.24,988.51,976.25,1052.99,951.44,719.95,1019.02,1067.63,992.02,632.98,1156.45,986.32,966.29,747.35,749.73,757.91,743.45
2027,1008.12,1265.35,952.42,1068.3,972.36,1187.5,979.16,1020.01,1098.2,535.88,1249.29,940.15,974.7,722.6,1057.25,1187.44,825.36,949.93,944.08,982.22,981.37,749.79,1015.1,919.2,822.29,552.76,1131.22,1024.7,1016.91,687.07,685.44,679.83,689.75
2028,1000.11,1231.98,963.85,1076.74,938.46,1133.47,970.95,1035.46,1074.45,587.18,1208.64,905.37,982.96,719.64,1069.91,1145.18,827.42,928.63,968.57,949.07,1025.02,805.12,1028.75,1007.12,946.72,599.77,1376.37,1017.43,1007.22,752.39,754.36,761.13,749.16
2029,969.53,1221.74,914.6,1042.58,921.77,1122.43,962.1,977.03,1044.27,502.98,1222.09,911.81,939.8,657.43,1013.17,1150.49,775.22,899.59,919.59,923.75,953.61,693.81,1009.52,1073.2,1043.75,615.61,1196.74,755.84,738.52,764.68,763.37,758.86,766.83
2030,1038.17,1273.88,946.33,1156.94,998.52,1262.13,998.42,1044.72,1153.67,535.71,1322.59,973.78,1006.58,729.03,1138.99,1207.1,818.32,973.49,934.36,996.24,962.1,767.68,1097.62,1070.7,960.85,585.01,1204.47,971.19,975.14,722.44,722.83,724.15,721.81
2031,993.05,1327.4,925.18,1067.26,882.83,1162.91,937.15,980.01,1094.49,534.64,1297.6,881.93,932.91,723.02,1058.3,1185.92,822.55,946.86,889.16,943.01,955.17,803.37,1031.6,1085.04,1011.26,542.02,1296.77,1125.28,1140.92,663.11,661.66,656.66,665.5
2032,1002.75,1262.59,999.37,1052.67,974.82,1081.13,931.42,1064.02,1069.33,584.62,1194.88,955.39,982.62,696.74,1109.52,1165.21,867.54,935.86,953.41,974.25,1052.3,693.53,984.29,1158.03,1078.4,567.31,1143.45,860.46,825.54,671.44,665.94,647.08,680.44
2033,983.06,1359.25,881.36,1055.62,928.54,1184.51,990.09,979.51,1084.87,470.33,1321.83,901.4,943.95,618.13,1033.5,1230.85,748.54,927.7,885.65,943.37,940.09,677.1,1004.49,1125.29,1009.52,593.73,1206.17,923.61,935.25,673.53,673.35,672.71,673.84
2034,1072.2,1320.18,948.85,1114.9,1073.91,1252.5,1037.9,1085.37,1173.64,605.87,1336.79,1032.07,1055.32,753.42,1094.67,1229.85,848.24,1037.19,1054.69,1058.13,1044.17,807.25,1100.69,1041.16,986.85,555.96,1219.52,906.14,894.52,653.68,652.2,647.14,656.09
2035,988.36,1250.67,933.25,1021.17,1001.69,1069.6,1016.3,1039.54,1057.98,482.72,1199.56,976.36,999.48,645.89,1012.7,1174.02,774.69,977.63,1018.16,999.95,1008.01,694.27,961.7,1203.97,1099.04,527.09,1105.23,984.46,985.35,710.79,706.38,691.24,718.01
