Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
1918,774.47,806.95,803.68,828.76,704.41,711.59,857.35,611.48,775.17,597.45,1009.15,670.14,581.59,806.95,781.61,840.55,746.51,726.21,636.98,667.87,677.46,882.13,1001.21,3306.88,2965.92,3055.19,1575.3,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1919,863.26,809.87,1073.83,869.97,812.12,758.76,1018.03,713.81,833.63,712.48,1043.64,736.92,641.31,781.5,926.61,878.12,860.83,745.99,806.1,704.66,882.31,842.61,1036.33,3278.78,2898.79,3055.19,1591.8,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1920,777.1,699.3,810.22,836.77,646.17,625.1,833.85,545.31,671.81,850.64,831.85,606.21,501,994.36,772.44,722.59,867.71,659.32,586.29,602.71,642.23,1217.01,1012.54,2924.56,2372.74,3055.19,1534.5,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1921,517.59,549.46,661.57,617.24,390.79,494.72,516.74,413.62,449.35,463.28,655.19,363.79,348.35,585.3,593.62,498.11,648.01,385.05,393.41,356.75,483.08,465.93,621.62,2981.97,2489.97,3055.19,1489.9,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1922,905.46,1080.92,951.02,984.39,814.96,875.98,1004.32,755.85,902.17,702.81,1275.95,755.3,696.37,783.27,959.55,1038.42,798.45,770.69,803.52,743.63,857.92,908.56,1197.57,3146.26,2740.45,3055.19,1452.4,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1923,885.79,892.08,988.37,938.72,847.67,797.59,966.42,735.51,870.23,709.96,1113.21,824.96,715.01,804.45,924.45,931.99,791.11,850.32,784.52,805.53,841.77,935.4,1141.08,3130.71,2664.46,3055.19,1575,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1924,790.23,817.95,774.76,834.21,795.74,688.57,981.58,631.74,774.71,726.29,926.93,748.61,613.86,774.2,783.64,830.31,683.96,777.89,689.17,716.74,710.8,974.37,1008.29,2873.3,2329.86,3055.19,1633.2,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1925,833.74,863.09,853.85,857.46,854.19,743.39,1021.82,721.68,875.16,694.01,991.07,802.69,687.6,742.03,873.79,925.97,716.46,880.73,794.12,807.61,807.38,876.01,944.38,2863.46,2274.65,3055.19,1579.5,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1926,861.32,815.71,948.42,890.77,771.56,712.07,878.81,669.19,762.76,914.66,984.45,733.9,617.06,912.97,883.55,822.4,872.93,745.93,739.68,697.48,802.18,1207.19,1109.29,2838.87,2258.94,3055.19,1481.5,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1927,919.38,928.57,1098,1013.47,903.39,812.82,1028.15,792.08,825.53,751.05,1085.16,862.19,698.05,795.89,1027.04,902.56,849.26,814.4,847.45,756.75,919.84,939.25,1160.16,3273.34,2975.85,3055.19,1589.7,2014.97,2056.04,2970.42,2897.28,2503.63,3090
